name,address,type,lat,lon
VIP Hotel,"5 Balmoral Crescent, Singapore",lodging,1.315874,103.834639
Raffles Girls Secondary School,Singapore,school,1.311693,103.829002
Sloane Court,Singapore,lodging,1.315832,103.832134
Néktar,"31 Scotts Road, Singapore",restaurant,1.3108,103.83505
Buona Terra,"29 Scotts Rd, Singapore",cafe,1.310717,103.834701
Novel Learning Centre,"271 Bukit Timah Rd, Singapore",school,1.315299,103.832685
Ki-Sho,"29 Scotts Rd, Singapore",cafe,1.310686,103.834577
Creativex Consulting Pte. Ltd.,"21 Balmoral Park, Singapore",finance,1.315938,103.829071
Ardmore Park Management Office,"13 Ardmore Park, Singapore",real_estate_agency,1.309999,103.829219
D\'zire Allure,"30 Stevens Rd, Singapore",florist,1.313439,103.828417
Amala Destinations,"23 Balmoral Rd, Singapore",travel_agency,1.316502,103.833126
Khoo Teck Puat Hospital,"90 Yishun Central, Singapore",hospital,1.424034,103.8384
Yishun Park,"Yishun Avenue 11, Singapore",park,1.424445,103.842743
Northland Primary School,Singapore,school,1.421098,103.840641
Villa Francis Home For the Aged,"91 Yishun Central, Singapore",health,1.423465,103.839295
Eatzi Gourmet Restaurant,"Yishun Avenue 4, Singapore",restaurant,1.423845,103.840826
Cathay Bowl Safra Yishun,"Safra Yishun Country Club #02-v2, 60 Yishun Avenue 4 (S)769027, Singapore",bowling_alley,1.423838,103.840958
Pin Si Restaurant,"60 Yishun Avenue 4, Singapore",restaurant,1.424458,103.840466
Singapore Mover,Singapore,place_of_worship,1.421984,103.839422
Comfort Keepers,"90 Yishun Central, #B1-03, Khoo Teck Puat Hospital, Singapore",health,1.424047,103.838581
Orchid Bowl @ SAFRA Yishun Country Club,"60 Yishun Avenue 4, Singapore",bowling_alley,1.424458,103.840466
NurtureStars @ SAFRA Yishun Country Club,"60 Yishun Avenue 4, Singapore",school,1.423776,103.840741
Family Leisure Pte. Ltd.,"60 Yishun Avenue 4, Singapore",bowling_alley,1.424458,103.840466
COOL SENSATIONS LLP,"661 Yishun Avenue 4, Singapore",store,1.422087,103.840581
Jack\'s Place Catering Services,"60 Yishun Avenue 4, Singapore",food,1.424458,103.840466
Health For Life Clinic,"Khoo Teck Puat Hospital, 90 Yishun Central, Singapore",health,1.424034,103.8384
Java Massage Hut,"60 Yishun Avenue 4, Singapore",health,1.423708,103.84065
Altius Global Pte Ltd,"60 Yishun Avenue 4, Singapore",gym,1.423708,103.84065
Frontier Medical Associates - Yishun,"Block 654, Yishun Avenue 4, #01-437, Singapore",health,1.423063,103.840461
Grasio Sports Silat School - Northland Primary School,"15 Yishun Avenue 4, Singapore",school,1.420935,103.840768
JS Athletics,"632 Yishun Street 61, Singapore",store,1.418624,103.839026
Lee Medical Associates,"Blk 654 Yishun Avenue 4, #01-437, Singapore",hospital,1.423289,103.839741
Loving Hut 3 Pte Ltd,"90 Yishun Central, Singapore",restaurant,1.424031,103.8384
Alexandra Health Pte Ltd,"90 Yishun Central, Singapore",hospital,1.424031,103.8384
Chin Huat Live Seafood Pte Ltd,"105 Clementi Street 12, Singapore",restaurant,1.322638,103.770091
Buttercake N Cream,"106 Clementi Street 12, #01-52, Singapore",cafe,1.321905,103.769737
Balmoral Bakery,"105 Clementi Street 12, Singapore",bakery,1.322316,103.770241
Rocky\'s,"106 Clementi Street 12, Singapore",restaurant,1.321912,103.769719
Smokey\'s BBQ (Clementi @ Sunset Lane),"Blk 106 Clementi Street 12, #01-54/56, (Navigate to Sunset Lane), Singapore",cafe,1.321806,103.769954
The Animal Clinic (Main Branch),"109 Clementi Street 11, Singapore",veterinary_care,1.32229,103.770595
Polypet,"109 Clementi Street 11, Singapore",pet_store,1.322129,103.77058
Petz Central,"109 Clementi Street 11, Singapore",pet_store,1.32229,103.770595
Mount Pleasant Animal Medical Centre (2004) Pte Ltd,"105 Clementi Street 12, Singapore",veterinary_care,1.322627,103.77
Pizza4u,"109 Clementi Street 11, Singapore",restaurant,1.32229,103.770595
HORSEE,"106 Clementi Street 12, Singapore",store,1.321717,103.770084
Adrenaline Laser Tag Singapore,"111 Clementi Street 13, Singapore",amusement_park,1.323312,103.770944
Integrated International School (IIS),"41 Sunset Way, #02-03/04 Clementi Arcade, Singapore",school,1.322129,103.77058
Dental Clinic in Singapore,"111 Clementi Street 13, Singapore",dentist,1.323249,103.770946
X\'pect Studio,"105 Clementi Street 12, Singapore",hair_care,1.322705,103.76996
Wein & Vin,Singapore,food,1.321948,103.769709
Squirrel Enterprise Pte Ltd,"Blk 106 Clementi Street 12, #04-46, Singapore",store,1.322024,103.769937
Flowerthots,"109 Clementi Street 11, Singapore",florist,1.322129,103.77058
Contours Express - Clementi Sunset Way,"106 Clementi Street 12, Singapore",gym,1.321948,103.769709
East Lodge,"1 Albert Winsemius Ln, Singapore",lodging,1.320298,103.76997
Rugbyfit Sports Management,"105 Clementi Street 12, Singapore",store,1.322627,103.77
Ecoverve,"109 Clementi Street 11, Singapore",travel_agency,1.32229,103.770595
The Fitness Grocer,"106 Clementi Street 12, Singapore",grocery_or_supermarket,1.321948,103.769709
Vapour Laundry,"109 Clementi Street 11, Singapore",laundry,1.321812,103.770686
National Oilwell Varco - Pioneer Road,"161 Pioneer Rd, Singapore",natural_feature,1.333436,103.634945
Drift Photography Tours,"132 Tanjong Rhu Rd, Singapore",travel_agency,1.297426,103.870551
Tania Clay Studio,"5 Rhu Cross, Singapore",store,1.29597,103.866447
Savills Pte Ltd,"130 Tanjong Rhu Rd, Singapore",real_estate_agency,1.297359,103.872026
Vatan Se,"7 Rhu Cross,, #01-02 Costa Rhu, Singapore",restaurant,1.296643,103.866834
Henry Park Primary School,"1 Holland Grove Road, Singapore",school,1.31681,103.784153
Raffles Girls\' Primary School,"53 Mount Sinai Road, Singapore",school,1.31361,103.786619
Annie\'s Peanut Ice Kachang,"20 Ghim Moh Rd, Singapore",food,1.311118,103.788465
Secret Recipe Cafe Pte Ltd,"42 Holland Grove Road, Singapore",cafe,1.315763,103.783231
Petstylist,"26 Holland Grove Rd, Singapore",pet_store,1.316834,103.782891
Kinder Clinic Pte. Ltd.,"34 Holland Grove Rd, Singapore",doctor,1.316334,103.782693
